id;booking_id;movie_time;seat_id;payment_status
1;096b998f-da5e-4bd4-9b48-5ebab53d8fe1;2024-07-28T22:36:27;18880;cohabit whenever brr
2;c32cee10-2fd3-4bf0-b880-adcb455a4dd4;2024-07-29T02:50:13;29624;sector
3;b105ab42-0376-4301-a21d-ead755566259;2024-07-28T18:41:23;15002;drat part around
4;d9cde443-c530-4b12-9488-28a67be1a727;2024-07-28T20:43:05;25147;lanky misunderstand
5;e4786f41-b902-4882-a783-05c0fbd14b86;2024-07-28T23:01:19;21240;alliance aboard against
6;d05f1b4a-803c-4987-92fb-e8a9000d9cd0;2024-07-29T05:10:45;1605;dirty
7;f7a804b5-242c-4165-8d91-585f282882ae;2024-07-29T16:13:50;17943;cheerfully
8;3ef3aa1f-b55d-446f-816c-28d3cd3caa35;2024-07-29T05:30:53;27204;clang
9;3b53da9e-a339-4774-94fe-56aef02c6ad3;2024-07-29T15:56:28;1257;beyond anti whoever
10;ebfef16a-5673-4dad-b37d-1c213f2be3c5;2024-07-28T19:21:10;14102;phew
