id;movie_id;title;genre;duration;release_date
1;3aa0a3ab-03e0-4a71-9a45-18db59ef346a;underneath estimate;including;23559;2024-07-29T12:35:46
2;1654c229-b0ee-4fc2-a356-b281736f3aca;alarming loathe because;invoice er;31554;2024-07-29T11:40:58
3;d57b1b81-25ea-4a82-9519-9a20053e67e3;scream reapply restock;astride but dual;13519;2024-07-29T09:42:32
4;3e646752-d655-4cbd-a2f6-9e4523ee0f5a;geez buffer pfft;whoever;31018;2024-07-29T03:20:16
5;59dad226-8e96-44ab-9f1e-a0282873a020;refusal;as monthly;21142;2024-07-29T10:27:28
6;6ba2654b-e0ff-4357-819a-9bcb9a790bd4;along branch;how;21216;2024-07-29T07:02:12
7;ed7cccf0-9c31-4f38-aebf-22f3d4c8902c;what;traumatic retouch;15454;2024-07-29T10:03:27
8;379a99a2-fa5e-4239-a339-41911c164cad;incidentally stucco;limp;18295;2024-07-28T17:46:19
9;20c0dac7-96af-4b93-97f8-a7d4c017a51d;yieldingly twin;tanker slick;25257;2024-07-29T13:36:57
10;c74284bd-2341-4f54-a123-ce1490643214;courageously;wildly;21210;2024-07-28T20:36:32
